AUTHOR,TITLE,MAP,PUB_YEAR,COMMENT,DEWEY_CALL_NO,CLIENT
"BOUCHER, PAUL",PROPOSED PARK DESIGN,NO,1990,,711.3 BOU,"PLANNING - BATHURST, NEW BRUNSWICK"
"HOLMES, TARA","PUBLIC-PRIVATE PARTNERSHIPS IN EDUCATIONAL FACILITIES PLANNING: ENVIRONMENTAL EDUCATION CASE STUDY, ANNAPOLIS ROYAL, NOVA SCOTIA",NO,1999,,711.3 HOL 1999,PUBLIC PRIVATE PARTNERSHIPS - NOVA SCOTIA - CASE STUDIES
"HATFIELD, JASON M.",QUERY BASED STATISTICAL MAPPING INFORMATION SYSTEM FOR STATISTICS CANADA: DESIGN AND IMPLEMENTATION,NO,1998,,711.3 HAT,STATISTICAL MAPPING
"CONNORS, WENDY",RECOMMENDATIONS TOWARDS DESIGNING ANTIGONISH COUNTY'S FUTURE: A STUDY OF THE PRESERVATION AND ENHANCEMENT OF RURAL CHARACTER,NO,2001,,711.3 CON 2001,
"FALLON, GLEN",RECREATIONAL LAKE INVENTORY AND ANALYSIS,NO,1987,,711.3 FAL,LAKES - NOVA SCOTIA
"BARNES, CYNDI",REGENERATING NOVA SCOTIA'S WOODLANDS: REACHING SUSTAINABLE FORESTRY,NO,1998,,711.3 BAR,
"JOHNSTON, DERRICE",RISE AND FALL OF THE SOFT SHELL CLAM IN THE ANNAPOLIS BASIN: A HISTORY FROM 1960 TO 1991,NO,1991,,711.3 JOH,"ANNAPOLIS BASIN, NOVA SCOTIA - PLANNING"
"HANNA, DAVID",SACKVILLE RECREATION STUDY,NO,1993,,711.3 HAN 199,RECREATION AREAS - PLANNING - SACKVILLE
"PALMER, DAVID W.","SANDY LAKE, BEDFORD LAND USE ANALYSIS",NO,1994,,711.3 PAL,"BEDFORD, NOVA SCOTIA - LAND USE PLANNING"
"RENOUF, CHAD",SNIDES LAKE WATERSHED STUDY,NO,1997,,711.3 REN,
"RILES, KEVIN WILLIAM",SOCIO-ECONOMIC STUDY OF THE BUSINESSES IN ANNAPOLIS COUNTY,NO,1987,,711.3 RIL,"PLANNING - ANNAPOLIS COUNTY, NOVA SCOTIA"
"BICKFORD, DON","SOLAR SUBDIVISION, A DESIGN STUDY",NO,1985,,711.3 BIC,PLANNING
"WHITTERS, JAMES","SOLAR SUBDIVISION: A DESIGN STUDY IN NEW MINAS, KINGS CO. N.S.",NO,1983,,711.3 WHI,"PLANNING - NEW MINAS, NOVA SCOTIA"
"KENDALL, ANDREW J.D.",SPATIAL ANALYSIS SYSTEM FOR WATER RESOURCE MANAGEMENT,NO,1988,,711.3 KEN,WATER RESOURCES PLANNING - NOVA SCOTIA
"HEMMING, HEATHER",SPRINGVALE-FAIRMOUNT NEIGHBOURHOOD STUDY,NO,1981,,711.3 HEM,CITY PLANNING
"DENEAU, DAN",ST JOHN'S NEWFOUNDLAND [MAP],YES,2001,,MAP 526.8 DEN 2001,
"PYNN, KIMBERLY",STRATEGIC CROSSWALK EVALUATION: CENTRAL BUSINESS DISTRICT HALIFAX,NO,1997,,711.3 PYN,
"FORAN, HEATH O'NEILL",STUDY OF POTENTIAL GOLF COURSE SITES FOR THE CITY OF ST. JOHN'S NEWFOUNDLAND,NO,1997,,711.3 FOR 1997,GOLF COURSES - ST. JOHN'S
"SCHAFFNER, CINDY",STUDY OF THE ANNAPOLIS RIVER MARSHLAND,NO,1981,,711.3 SCH,"PLANNING - ANNAPOLIS COUNTY, NOVA SCOTIA"
"MOYES, ROBERT I.",SUBDIVISION DESIGN PROPOSALS,NO,1987,,711.3 MOY 1987,LAND SUBDIVISION - LAWRENCETOWN
COMMUNITY PLANNING I - PREPARED BY,SUBMISSION REGARDING CBC LICENSE RENEWAL APPLICATION,NO,1982,,711.3 SUB 1982,"RADIO - PUBLIC ADMINISTRATION - ANNAPOLIS CO., NOVA SCOTIA"
"MILES, PETER",SURVEY TIME CONSTRAINTS USING GIS FOR THE BROWN SPRUCE LONGHORN BEETLE,NO,2002,,711.3 MIL 2002,
"GRAHAM, TARA",SUSTAINABLE HERITAGE PRESERVATION: HALIFAX REGIONAL MUNICIPALITY,NO,2001,,711.3 GRA 2001,
"BISHOP, JEAN",TATAMAGOUCHE: AN HISTORICAL PERSPECTIVE ON THE DEVELOPMENT OF TODAY AND TOMORROW,NO,1998,,711.3 BIS,
"INGLIS, SHIRLEY",TESTING THE WATERS : A STUDY OF WAYS TO IMPROVE THE WATER QUALITY IN THE ANNAPOLIS RIVER TRIBUTARIES,NO,2000,,711.3 ING 2000,
